entry	  دەم	زارک	دەرگانە	دەروو	ناڤدەر	درگا	دەرک	رێڕەو	پێشەکی	دەسپێک	لێما	لێمە	سەرواژە	سەروشە
feature	  دانستە	تایبەتمەندی	گەوشین	سیما	سەروسیما	سەكوت	بیچم	ڕیخت	نموود	قەڵافەت	دیامان	ڕەنگوڕوو		
roll	  خلیان	خلیانەوە	خلۆربوونەوە	گلان	گلیان	تۆپ	لیست		پێڕست	خل کردنەوە	خل بوونەوە	جاڵەبوون		
run	  ڕاکردن	ڕا	ماوە	ڕۆشتن (ئاو)	ڕا ئەکات	هەڵهاتن	بەڕێوبردن	هەڵبوون	بەکارهێنان	یاری کردن	ئەندام بوون			
creator	  ئافرێنەر	بەدیهێنەر	چێکار	داهێنەر	خوڵقێنەر	دروستکەر	چێکەر	سازێنەر	بنیاتنەر	پێکهێنەر	یەزدان			
mislead	  فریودان	هەڵفریواندن	بەهەڵەبردن	لاباندن	خاپاندن	خەڵەتاندن	هەڵخەڵەتاندن	کڵاوسەرنیان	خڵەفاندن	لاسدان	کەرکردن			
busy	  سەرقاڵ	سەرگەرم	خەریک	خەرکاو	خەجڵ	لەزک	مژۆڵ	لەگژ	قەڕەباڵغ	زەنازەنا	قواقوو			
pitch	  تووڕدان	فڕێدان	تیژی دەنگ	زیلی و بەمی	لێژایی بان(میچ)	ترۆپک	پۆپە	ڕادە	خەستی	گۆڕەپانی یاری	سەرەوژێری			
vein	  سیاڕەگ	خوێن هێن	دەمار	گوڵدەمار	دۆخ	لۆر	مەیل	دەس و دڵ	گوردوهۆگر	ڕەگە	ڕینچ			
look	  روانین	سەیرکردن	چاولێکردن	تواشاکردن	لێگەڕان	وادەرکەوتن	روخسار	بیچم	سیما	قەڵافەت	دیمەن			
vision	  بینایی	وینایی	سۆ	سۆما	سۆمایی	هێزی دیتن	هەتەر	لەدڵ چەقین	ئیلهام	خورپە کەوتنە دڵ	دیمەن			
fancy	  خه‌یاڵ	هه‌وه‌س	داڵغه‌	حه‌زلێکردن	حولحولی	گرانبه‌ها	جوان	رازاوه‌	که‌شخه‌	خۆشویستن	دڵ لێچوون			
deceive	  فریودان	هەڵفریواندن	لاباندن	خاپاندن	خەڵەتاندن	هەڵخەڵەتاندن	کڵاوسەرنیان	خڵەفاندن	لاسدان	کەرکردن	بەهەڵەبردن			
fat	  دەوڵەمەند	بەسوود	زۆرو زەبەن	کەرو بێ مێشک	بەز	پیو	لەبە	قەڵەو	رۆن	چەوری	بەڕۆن			
matter	  کار	باس	کاروباس	مەسەلە	کێشە بوون	گرنگ بوون	ماک	ماکە	ماددە	مەتێریا				
train	  فێرکردن	راهێنان	هەڤۆتن	هوین کردن	هین کردن	ریز	زنجیر	زنجیرە	شەمەندەفەر	قەتار				
poke	  تێوەژاندن	نەقیزەدان	نەقیزە کوتان	پاڵپێوەنان	زەخت	زەختە	نەقیزە	سۆک	پیرەسی	شەبیک				
jest	  گاڵتە	قەشمەری	گەپ	قسەخۆشی	تیز	لاتاو	تانە	گاڵتەپێکردن	تیتاڵی پێکردن	شۆخی کردن				
finish	  تەواو کردن	کۆتایی پێهێنان	دوایی هێنان	ڤەبڕین	گەیاندنە ئەنجام	ئاخر	دوایی	دوماهی	کۆتایی	سەرەنجام				
deal	  دابەشکردن	بڵاوکردنەوە	بازرگانی	ئاڵوویر	ڕیکەوتن	دان و ستان	مامەڵە	هەڵسوکەوت کردن دەگەڵ	بڕ	زۆر				
mean	  واتادان	مەبەست بوون	ناوین	ناوەنج	ناوگین	ڕادەی مامناوەند	هۆکار	دڵڕەق	سپڵە	ڕەزیل				
fast	  خێرا	توند	چەسپاو	دڵسۆز نەگۆڕ	باش	تەواو	ڕەنگ نەگۆڕ	سەردانی کورت	بێباکانە	ڕۆژوو گرتن				
ring	  ئەڵقە	بازنە	زەنگ	زەنگی تەلەفۆن	گروپی (جەماعەت) خراپکار	ئەڵقە کردنە پەنجە	چواردەوردان	زرنگانەوە	ئەنگوستیلە					
case	  دۆخ	باردۆخ	بار	کێشە	سنووق	جانتا	قتوو	داپۆشین	لەناوجانتادانان					
current	  هەنووکە	هەنووکەیی	باو	سەردەم	سەردەمیانە	تەزوو	تەزووی کارەبا	تەوژم	لێشاو					
custom	  راسپێردراو	درووستکراو	داب	نەریت	ڕەوشت	خوو	باج	خاوە	گومرک					
chase	  ڕاونان	ڕەدوونان	ڕاوەدوونان	ڕەپێنان	شوێن هەڵگرتن	سەردەدوونان	وەدووکەوتن	ڕاوکردن	کێبڕکێ					
combine	  پەیوەستکردن	ڕەگەڵخستن	خستنەپاڵ	پێگەیاندن	پەیوەستبوون	ڕەگەڵکەوتن	تێکەڵکردن	کۆمپا	کۆمباین(ماشێنی دروێنە و گێرە)					
sense	  هەست پێکردن	تێگەیشتن	ئاگاکردن	هەسیان	هەست	ژیری	هۆش	ئاوەز	فام					
develop	  پەرەپێدان	گەشەپێدان	داهێنان	ئاواکردنەوە	بەربڵاوکردن	گەشەکردن	گەشەسەندن	پەرەسەندن	شوتنەوەی فیلم					
crush	  پووچاندنەوە	وردوخاشکردن	داهاڕین	گوشین	هەڵپشاوتن	هەڵگڵۆفین	شکاندن	بەزاندن	سەرکەوتن بەسەر					
present	  پێشاندان	پێشکەش کردن	پێ ناساندن	ئێستا	هەنووکە	دۆخی کرداری رانەبردوو	ئامادە	دیاری	ڕانەبردوو					
policy	  ڕێوشوێن	پلان	تەگبیر	تەڤبیر	دۆز	ڕێباز	ڕەوگە	ڕەواڵ	ڕامیاری					
sting	  پێوەدان	چزاندن	گەستن	چزووتێڕۆکردن	کزانەوە	چووزانەوە	چز	گەز	چزوو					
threaten	  هەڕەشە کردن	هەڕەشە و گوڕەشە	راخوڕین	گەف کردن	هەڕوگیڤ کردن	هەدیداندن	گەفاندن	ترساندن	چاوسوورکردنەوە					
light	  ڕووناکی	ڕووناک	کاڵ	نوور	تیشک	گڵۆپ	لامپ	داگیرساندن	تیشک خستنەسەر					
rate	ژمارە	فریکانس	نرخ	بەها	پلە	رادە	جۆر	نرخ	تێکڕا					
follower	  شوێن کەوتوو	چاولێکەر	پەیڕەو	لاساکەر	دواکەوتە	پێگرتی	دوکەڤتی	تەک کەوتە	پاش ڕۆ					
touch	  ساوان	دەست لێدان	دەست ساوین	دەست پێداهێنان	دەست ڕێخستن	تلانن	لێک کەوتن	لێک سوون	بەرکەوتن					
ridicule	  گاڵتەپێکردن	گەمەپێکردن	تیتاڵی پێکردن	گاڵتە	تڕانە	تەڤز	هەلک	ئەهێو						
vessel	  کەشتی	دەفر	قاپ	ڕەگ	ڕەهەند	بۆری	لوولە	ئاوەڕۆ						
statement	  دەستەواژە	ڕێکەوەند	قسە	وتە	دەربڕین	وتن	دیتانە	ئاگاداری						
honor	  شانازی	رێزگرتن	سەربەرزی	شکۆ	تازیاری	ودم	نامووس	ئابڕوو						
yield	  بەرهەم	بەرەچە	دەسکەوت	بەهرە	بەرهەمدانەوە	بەرهەم هێنان	وازهێنان	وازلێهێنان						
toil	  ڕەنجدان	کردوکۆش کردن	چەوسان	زەحمەت کێشان	مەینەتی کێشان	چەرمەسەری	سەختی	مەینەت						
interest	  سوو	سوود	خێر	مەراق	حەز	حەزلێبوون	خوودانەشتێ	مەیل لێبوون						
bear	  ورچ	هەڵگرتن	دەخۆگرتن	بەرگەگرتن	خۆڕاگرتن	زان	بەر دان	میوەدان						
furnish	  پۆشتەکردن	پەرداخکردن	سازکردن	تەیارکردن	گیڤکردن	بەرهەڤکردن	خەمڵاندن	موبلەکردن						
quota	  بەش	پشک	واش	ئاماڵ	لەڤا	بەهرە	هۆخ	ماف						
subside	  داتەپین	تەپین	نەوی بوون	نیشتن	دامرکانەوە	نیشتنەوە	مرانەوە	لەکەمیدان						
extension	  پێوەکراو	درێژکردنەوە	پێوەکردن	درێژکردن	درێژکردنەوە	کشان	کشاندن	لقی تەلەفۆن						
maintain	  هێشتنەوە	ڕاگرتن	پاراستن	درێژەپێدان	پشتیوانی لێکردن	پاڵپشتی کردن	بانگەشەکردن	لاف لێدان						
fell	  دان به‌زه‌وی دا	خستن	بڕینه‌وه‌	داپاچین	بێ به‌زه‌یی	دڕنده‌	گردی به‌ردانی یا ڕووته‌نی	کوشنده‌						
fun	  ڕابواردن	شۆخی کردن	کایە	دڵ گوشا	بەردڵ	دڵنەوا	بلاوێن	شەنگ						
abuse	  کەڵکاوەژوو	بەکارهێنانی نابەجێ	بەد بەکارهێنان	کرداری خراپ کردن	دەستدرێژی کردن	جنێودان	خوەسندان	سخێف گوتن						
route	  ڕێگا	ڕێ	ێڕەو	گەشت	ئاڕاستە	ڕاڕەو	ناردن	ڕەوانەکردن						
play	  یاری کردن	گەمە کردن	ژەنین	لێدان	یاری	گەمە	شانۆگەری	ڕابواردن						
state	  پارێزگا	دەوڵەت	وڵات	بار	دۆخ	وتن	دەربڕین	دەرخستن						
let	  هێشتن	هێڵان	رێپێدان	رێدان	ئیزن دان	بواردان	با	دەبا						
waste	  پاشماوە	زبڵ	پاشەڕۆ	بێ کەڵک	بێ سوود	بەفیرۆدان	بەتڵاندن	خەسارکردن						
property	  سامان	مڵک	خانووبەره	زەویوزار	تایبەتمەندی	گەوشین	دانستە	خاسمانی						
order	  رێکوپێکی	سازاوی	دووزەنه	ڕیز	ڕاسپاردن	بڕیار	دەستوور	حوکم						
trip	  سەفەر	گەڕان	گلان	سەرسم دان	سەرسم	تەسە	رەت	تەڕپل						
vocation	  کار	ئیش	پیشە	کاربەند	کسم	چالاکی	بەهرە	توانا						
danger	  مەترسی	قەستەسەر	تەلەزگە	بڤە	خەبار	بزدینۆک	خەتەر	ترسناک						
quarter	  چارەگ	چارەک	گەڕەک	کۆڵان	ناوچە	نشیمەن	نشینگە	پەنادان						
scale	  پولەکە	قەپان	پێوانە	پولەکە لێکردنەوە	کێشانە کردن	پێوانە کردن	نمرە	پێوەر						
keep	  پاراستن	ڕاگرتن	گرتن	بەڕێوەبردن	بەردەوامبوون	هێشتنەوە	بەخێوکردن	پێشگرتن						
standing	  بەردەوام	پایەدار	بەپێوە	ڕاوەستاو	پلە	پایە	دەوام	بڕواپێکراو						
